Track,Album,Artist,Year,Category
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Firefly - Main Title"", ""Big Bar Fight"", ""Heart of Gold Montage"", ""Whitefall / Book"", ""Early Takes Serenity"", ""The Funeral"", ""River\u0092s Perception / Saffron"", ""Mal Fights Niska / Back Home"", ""River Tricks Early"", ""River Understands Simon"", ""Leaving / Caper / Spaceball"", ""River\u0092s Afraid / Niska / Torture"", ""In My Bunk / Jayne\u0092s Statue / Boom"", ""Inara\u0092s Suite"", ""Out Of Gas / Empty Derelict"", ""Book\u0092s Hair / Ready For Battle"", ""Tears / River\u0092s Eyes"", ""Cows / New Dress / My Crew"", ""Boarding The Serenity / Derelict"", ""Burgess Kills / Captain & Ship"", ""Saved / Isn\u0092t Home? / Reavers"", ""Reavers Chase Serenity"", ""River\u0092s Dance"", ""Inside The Tam House"", ""Dying Ship / Naked Mal""]",Firefly (Original Soundtrack),Greg Edmonson,2005,Television
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
"[""Main Titles"", ""Blush Response"", ""Wait for Me"", ""Rachel's Song"", ""Love Theme"", ""One More Kiss, Dear"", ""Blade Runner Blues"", ""Memories of Green"", ""Tales of the Future"", ""Damask Rose"", ""Blade Runner (End Titles)"", ""Tears in Rain""]",Blade Runner (Official Score),Vangelis,1994,Movie
